2016-06-03 10:44:58,415 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:44:58,415 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:44:58,416 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:44:58,420 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:47:01,082 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.babanomania.techprimer:JSPDemo:0.0.1-SNAPSHOT @ /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/pom.xml.
2016-06-03 10:47:01,752 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:47:01,757 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-03 10:47:01,758 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:47:01,759 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:47:01,759 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:47:01,759 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:47:01,763 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:49:46,406 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.babanomania.techprimer:JSPDemo:0.0.1-SNAPSHOT @ /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/pom.xml.
2016-06-03 10:49:46,585 [Worker-14] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-maven-plugin/${jetty.version}/jetty-maven-plugin-${jetty.version}.pom
2016-06-03 10:49:46,588 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:${jetty.version} is missing, no dependency information available
2016-06-03 10:49:46,782 [Worker-14] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/jetty/jetty-maven-plugin/${jetty.version}/jetty-maven-plugin-${jetty.version}.jar
2016-06-03 10:49:46,783 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:${jetty.version}: Plugin org.eclipse.jetty:jetty-maven-plugin:${jetty.version} or one of its dependencies could not be resolved: Could not find artifact org.eclipse.jetty:jetty-maven-plugin:jar:${jetty.version} in central (https://repo.maven.apache.org/maven2)
2016-06-03 10:49:46,785 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:${jetty.version} is missing, no dependency information available
2016-06-03 10:49:46,787 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Failed to retrieve plugin descriptor for org.eclipse.jetty:jetty-maven-plugin:${jetty.version}: Plugin org.eclipse.jetty:jetty-maven-plugin:${jetty.version} or one of its dependencies could not be resolved: Failure to find org.eclipse.jetty:jetty-maven-plugin:jar:${jetty.version} in https://repo.maven.apache.org/maven2 was cached in the local repository, resolution will not be reattempted until the update interval of central has elapsed or updates are forced
2016-06-03 10:49:47,347 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:49:47,350 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-03 10:49:47,353 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-03 10:49:47,354 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Shouvik/Documents/workspace/primer-on-technology-trends/Ex2_JSP/JSPDemo/src/test/resources
2016-06-03 10:49:47,354 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of JSPDemo
2016-06-03 10:49:47,354 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for JSPDemo
2016-06-03 10:49:47,359 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.eclipse.jetty:jetty-maven-plugin:jar:${jetty.version} is missing, no dependency information available
